track_name,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit,track_popularity,pop_rank,pop_denserank,track_duration
epiphany,0.317000002,0.254000008,-13.6789999,1,0.0286,0.726999998,0.000326,0.0867,0.103,93.93299866,0,70,119,22,04:49.0
Our Song,0.667999983,0.671999991,-4.931000233,1,0.030300001,0.111000001,0,0.328999996,0.538999975,89.01100159,0,70,119,22,03:21.0
The Lucky One (Taylor's Version),0.68599999,0.57099998,-7.138000011,1,0.050000001,0.066,0,0.060800001,0.537999988,117.8889999,0,70,119,22,04:00.0
"Would've, Could've, Should've",0.481999993,0.837000012,-6.500999928,1,0.119999997,0.435000002,0.00147,0.123000003,0.533999979,157.9600067,0,70,119,22,04:20.0
Karma,0.647000015,0.614000022,-7.09100008,1,0.065099999,0.078199998,0,0.611000001,0.095600002,90.03399658,1,70,119,22,03:24.0
All You Had To Do Was Stay (Taylor's Version),0.588,0.721000016,-5.578999996,1,0.0317,0.000656,0.00E+00,0.130999997,0.519999981,96.99700165,0,70,119,22,03:13.0
The Great War,0.573000014,0.736999989,-9.001999855,1,0.0352,0.202999994,2.78E-05,0.085100003,0.592000008,96.00900269,0,70,119,22,04:00.0
Shake It Off (Taylor's Version),0.635999978,0.808000028,-5.69299984,1,0.072899997,0.0121,2.18E-05,0.358999997,0.916999996,160.0579987,0,70,119,22,03:39.0
New Romantics (Taylor's Version),0.648999989,0.846000016,-5.958000183,1,0.060199998,0.00675,4.63E-06,0.082400002,0.698000014,121.9779968,0,70,119,22,03:50.0
long story short,0.546000004,0.730000019,-7.703999996,1,0.041700002,0.660000026,0.179000005,0.097199999,0.573000014,157.8950043,0,70,119,22,03:35.0
dorothea,0.605000019,0.488000005,-8.32199955,1,0.0264,0.69599998,0,0.128999993,0.354000002,119.9660034,0,70,119,22,03:45.0
Starlight (Taylor's Version),0.628000021,0.685000002,-5.863999844,1,0.035799999,0.00324,0,0.180000007,0.605000019,126.0139999,0,70,119,22,03:40.0
You’re Not Sorry (Taylor’s Version),0.505999982,0.444000006,-4.989999771,1,0.0285,0.053800002,0.00E+00,0.123000003,0.240999997,133.8730011,0,70,119,22,04:21.0
peace,0.643999994,0.284000009,-12.87899971,1,0.082099997,0.916000009,1.50E-05,0.090899996,0.328000009,150.0720062,1,70,119,22,03:54.0
Wonderland (Taylor's Version),0.463999987,0.704999983,-5.96999979,1,0.043400001,0.00976,2.61E-05,0.209000006,0.38499999,183.8919983,0,69,141,23,04:05.0
Snow On The Beach (feat. Lana Del Rey),0.652999997,0.331,-13.5340004,1,0.039000001,0.704999983,0.0013,0.115999997,0.165999994,110.0139999,1,69,141,23,04:16.0
Breathe (feat. Colbie Caillat) (Taylor’s Version),0.505999982,0.625999987,-6.065999985,1,0.0287,0.156000003,0,0.228,0.32100001,148.0350037,0,69,141,23,04:23.0
Question...?,0.740999997,0.509000003,-8.746999741,1,0.189999998,0.204999998,0,0.261999995,0.112999998,108.9779968,1,69,141,23,03:30.0
Bad Blood (Taylor's Version),0.617999971,0.683000028,-6.438000202,1,0.194000006,0.036200002,0.00E+00,0.305000007,0.363000005,169.970993,0,69,141,23,03:31.0
How You Get The Girl (Taylor's Version),0.758000016,0.690999985,-5.797999859,1,0.0515,0.00196,1.09E-05,0.093900003,0.537999988,119.9970016,0,69,141,23,04:07.0
I Wish You Would (Taylor's Version),0.670000017,0.85799998,-6.527999878,1,0.043900002,0.00354,1.25E-05,0.068700001,0.538999975,118.0090027,0,69,141,23,03:27.0
Jump Then Fall (Taylor’s Version),0.572000027,0.689999998,-6.201000214,1,0.035799999,0.047400001,0,0.089699998,0.624000013,160.1109924,0,69,141,23,03:57.0
Teardrops On My Guitar - Radio Single Remix,0.620999992,0.416999996,-6.940999985,1,0.0231,0.287999988,0,0.119000003,0.289000005,99.95300293,0,69,141,23,03:23.0
Labyrinth,0.493000001,0.307999998,-15.48900032,1,0.0436,0.80400002,0.328000009,0.123000003,0.129999995,109.9929962,0,69,141,23,04:07.0
Superman (Taylor’s Version),0.532999992,0.741999984,-3.47300005,1,0.030300001,0.0031,0,0.108000003,0.356000006,131.9299927,0,69,141,23,04:34.0
Untouchable (Taylor’s Version),0.393000007,0.531000018,-6.111999989,1,0.032900002,0.018100001,0.00E+00,0.169,0.224000007,200.3910065,0,69,141,23,05:12.0
You Are In Love (Taylor's Version),0.363000005,0.497999996,-9.472999573,1,0.075499997,0.610000014,3.91E-06,0.112000003,0.476999998,84.68000031,0,69,141,23,04:27.0
Dear Reader,0.474999994,0.386000007,-12.03800011,1,0.073700003,0.497000009,0.00104,0.119000003,0.162,107.6009979,0,68,154,24,03:45.0
Tell Me Why (Taylor’s Version),0.578000009,0.908999979,-3.66899991,1,0.062799998,0.0222,0,0.333000004,0.541000009,100.0230026,0,68,154,24,03:20.0
Forever & Always (Piano Version) (Taylor’s Version),0.546000004,0.273000002,-9.208000183,1,0.0308,0.819000006,0.00E+00,0.136999995,0.270999998,118.7529984,0,68,154,24,04:27.0
Girl At Home (Taylor's Version),0.690999985,0.736000001,-6.973999977,1,0.032600001,0.00955,1.88E-05,0.101000004,0.611999989,125.0889969,0,68,154,24,03:40.0
This Love (Taylor’s Version),0.470999986,0.509000003,-8.795999527,0,0.035500001,0.316000015,0,0.067299999,0.056699999,144.0709991,0,68,154,24,04:10.0
Today Was A Fairytale (Taylor’s Version),0.481999993,0.778999984,-5.025000095,1,0.040899999,0.0135,0,0.296000004,0.328000009,158.1620026,0,68,154,24,04:01.0
Sweet Nothing,0.335000008,0.165999994,-14.95800018,1,0.048,0.967000008,0.00012,0.115000002,0.391000003,175.9170074,0,68,154,24,03:08.0
The Best Day (Taylor’s Version),0.64200002,0.575999975,-8.524000168,1,0.028200001,0.488000005,0.00E+00,0.158999994,0.469000012,125,0,68,154,24,04:05.0
closure,0.68900001,0.703999996,-10.81299973,1,0.245000005,0.834999979,4.83E-06,0.134000003,0.920000017,151.8840027,0,68,154,24,03:00.0
Bigger Than The Whole Sky,0.479999989,0.219999999,-12.46899986,1,0.0425,0.837000012,2.69E-03,0.115999997,0.063299999,82.9509964,0,68,154,24,03:38.0
Paris,0.690999985,0.497999996,-10.51900005,1,0.101000004,0.115999997,3.07E-05,0.136000007,0.453999996,110.9629974,0,68,154,24,03:16.0
State Of Grace (Acoustic Version) (Taylor's Version),0.444999993,0.130999997,-13.77799988,1,0.056400001,0.662999988,1.57E-06,0.108000003,0.101000004,208.9179993,0,67,165,25,05:21.0
Glitch,0.676999986,0.451000005,-9.744000435,0,0.189999998,0.317999989,0,0.109999999,0.398999989,140.8450012,0,67,165,25,02:28.0
Picture To Burn,0.657999992,0.876999974,-2.09800005,1,0.032299999,0.172999993,0,0.096199997,0.82099998,105.5859985,0,67,165,25,02:53.0
High Infidelity,0.56400001,0.545000017,-10.17000008,1,0.104000002,0.726000011,0,0.087800004,0.765999973,176.0820007,0,67,165,25,03:51.0
